Time,Time Code,Country Name,Country Code,Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",Gini index [SI.POV.GINI]
2018,YR2018,Marshall Islands,MHL,22.12556676,3409.492912,..,40
2018,YR2018,Mauritania,MRT,43.81782653,1575.313788,10.38500023,..
2018,YR2018,Mauritius,MUS,19.40484898,10335.84857,6.429999828,35.8
2018,YR2018,"Micronesia, Fed. Sts.",FSM,..,2917.242219,..,40.1
2018,YR2018,Moldova,MDA,25.61476962,3260.531701,4.110000134,25.7
2018,YR2018,Monaco,MCO,..,171223.9805,..,..
2018,YR2018,Mongolia,MNG,39.37792751,4233.972689,5.380000114,32.7
2018,YR2018,Montenegro,MNE,31.91485118,7381.804173,15.17000008,36.8
2018,YR2018,Morocco,MAR,33.40138552,3004.632324,9.265000343,39.6
2018,YR2018,Mozambique,MOZ,50.0478227,602.530495,3.45600009,54
2018,YR2018,Myanmar,MMR,32.1870246,1459.642977,0.870000005,38.1
2018,YR2018,Namibia,NAM,14.91634798,4632.390893,19.87999916,59.1
2018,YR2018,Nauru,NRU,..,8392.958084,..,40
2018,YR2018,Nepal,NPL,39.54780033,1021.331877,3.193000078,32.8
2018,YR2018,New Caledonia,NCL,..,..,14.84700012,..
2018,YR2018,New Zealand,NZL,23.98645891,40365.1957,4.329999924,..
2018,YR2018,Nicaragua,NIC,24.07466885,2086.009523,5.199999809,46.2
2018,YR2018,Niger,NER,28.98344777,513.6267859,0.545000017,37.3
2018,YR2018,Nigeria,NGA,19.8137748,2512.192392,8.456000328,35.1
2018,YR2018,North Macedonia,MKD,32.32881107,5184.694471,20.73999977,33
2018,YR2018,Northern Mariana Islands,MNP,..,20533.12751,..,..
2018,YR2018,Norway,NOR,28.05762683,75953.58195,3.799999952,27.6
2018,YR2018,Oman,OMN,31.67519327,17393.54899,1.799999952,40
2018,YR2018,Pakistan,PAK,17.06829148,1491.350684,4.079999924,29.6
2018,YR2018,Palau,PLW,..,15115.36631,..,40
2018,YR2018,Panama,PAN,41.48102321,14880.6628,3.832999945,49.2
2018,YR2018,Papua New Guinea,PNG,..,2749.117778,2.563999891,41.9
2018,YR2018,Paraguay,PRY,22.7820848,5871.281311,6.21999979,46
2018,YR2018,Peru,PER,21.31117514,6574.328987,3.49000001,42.4
2018,YR2018,Philippines,PHL,27.15058204,3500.933789,2.339999914,42.3
2018,YR2018,Poland,POL,20.76542913,14332.91589,3.849999905,30.2
2018,YR2018,Portugal,PRT,18.29047164,21057.61748,6.989999771,33.5
2018,YR2018,Puerto Rico,PRI,15.07555115,29753.36408,9.199999809,..
2018,YR2018,Qatar,QAT,40.65910027,59757.79609,0.109999999,..
2018,YR2018,Romania,ROU,22.77695792,10714.01536,4.190000057,35.8
2018,YR2018,Rwanda,RWA,21.40613043,830.4660519,1.110999942,45.1
2018,YR2018,Samoa,WSM,..,4337.126149,8.68599987,42.1
2018,YR2018,San Marino,SMR,20.60918787,43753.86138,..,40
2018,YR2018,Sao Tome and Principe,STP,..,1667.857919,14.06099987,..
2018,YR2018,Senegal,SEN,32.64851794,1360.239278,3.275000095,38.1
2018,YR2018,Serbia,SRB,22.65498837,6261.527139,12.72999954,35
2018,YR2018,Seychelles,SYC,28.80696221,16628.0992,..,32.1
2018,YR2018,Sierra Leone,SLE,14.82837621,630.4824554,4.659999847,35.7
2018,YR2018,Singapore,SGP,24.79231363,61373.64848,3.642999887,..
2018,YR2018,Sint Maarten (Dutch part),SXM,40.10367578,27093.79714,..,..
2018,YR2018,Slovak Republic,SVK,23.10042602,17730.15011,6.539999962,25
2018,YR2018,Slovenia,SVN,21.23794505,23476.36989,5.110000134,24.6
2018,YR2018,Solomon Islands,SLB,12.21831825,2321.06766,0.723999977,..
2018,YR2018,Somalia,SOM,..,425.4165994,18.85000038,48
2018,YR2018,South Africa,ZAF,16.54089624,6199.891699,26.90999985,63
2018,YR2018,South Sudan,SSD,..,..,12.23700047,45
2018,YR2018,Sri Lanka,LKA,29.85151966,4157.283876,4.320000172,39.8
2018,YR2018,St. Kitts and Nevis,KNA,..,19681.4914,..,40
2018,YR2018,St. Lucia,LCA,..,10975.82655,19.07999992,42.6
2018,YR2018,St. Martin (French part),MAF,..,..,..,..
2018,YR2018,St. Vincent and the Grenadines,VCT,..,7787.77336,19.18000031,40
2018,YR2018,Sudan,SDN,36.71006393,2061.686523,17.57999992,..
2018,YR2018,Suriname,SUR,..,9020.440787,7.926000118,61
2018,YR2018,Sweden,SWE,26.00839715,52983.00686,6.360000134,30
2018,YR2018,Syrian Arab Republic,SYR,..,988.6371604,8.755000114,..
2018,YR2018,Tajikistan,TJK,37.26343668,1119.626484,7.012000084,34
2018,YR2018,Tanzania,TZA,38.37657458,1042.987671,2.20600009,40.5
